trial,video,key,reaction_time,correct,speed
1,./7Ball/7Ball_No_Screen4.mp4,4,2.871,True,0.8
2,./7Ball/7Ball_No_Screen5.mp4,5,3.319,True,0.8
3,./7Ball/7Ball_No_Screen6.mp4,5,3.738,False,0.8
4,./7Ball/7Ball_No_Screen5.mp4,5,5.624,True,0.8
5,./7Ball/7Ball_No_Screen4.mp4,4,3.302,True,0.8
6,./7Ball/7Ball_No_Screen3.mp4,3,4.888,True,0.8
7,./7Ball/7Ball_No_Screen4.mp4,4,4.176,True,0.8
8,./7Ball/7Ball_No_Screen4.mp4,4,2.959,True,0.8
9,./7Ball/7Ball_No_Screen7.mp4,7,3.41,True,0.8
10,./7Ball/7Ball_No_Screen1.mp4,2,2.968,False,0.8
